x1;x2;x3;x4;x5;x6;x7
1,46;1,59;8,25;5,2;3,36;7,37;3,14
5,67;3,61;8,57;3,09;2,28;0,67;2,46
1,55;0,85;0,99;3,63;3,86;0,14;3,21
3,74;4,88;9,76;7,63;9,3;3,6;7,58
5,95;3,48;0,02;4,85;4,59;8,6;2,3
3,57;1,5;2,12;3,85;8,15;9,65;0,15
3,89;0,1;3,27;6,35;6,7;7,96;0,09
4,08;2,69;10,54;5,22;6,29;8,65;3,58
1,21;3,35;11,17;3,45;8,92;5,37;6,66
4,65;4,98;10,66;4,03;5,54;1,29;7,6
7,75;0,06;4,75;2,92;5,1;9,39;2,76
5,41;1,63;10,01;8,89;7,52;3,54;2,08
7,84;1,51;7,53;1,9;4,06;8,75;1,19
6,83;0,61;3,76;0,87;2,63;6,13;7,7
7,64;0,66;5,65;9,67;2,69;5,8;3,91
8,68;3,08;10,66;4,35;4,27;2,59;0,63
4,86;4,66;4,59;7,36;6,59;1,4;2,37
0,12;2,24;3,38;2,66;4,69;0,35;5,79
5,69;3,37;5,89;4,48;9,12;2,27;1,56
0,14;4,5;10,33;0,12;6,29;4,84;4,29
2,87;4,9;0,85;5,33;3,12;0,92;7,87
2,21;1,09;1,34;0,55;7,04;7,99;5,06
6,96;1,93;5,45;2,54;5,2;2,77;1,34
6,09;1,29;0,53;5,9;6,31;7,62;2,73
3,29;3,29;10,16;1,96;7,79;5,3;5,51
1,45;4,85;7,49;6,58;2,62;2,09;3,24
7,66;2,06;9,97;7,47;6,11;6,14;1,47
3,21;0,72;9,71;8,11;7,49;1,66;5,62
9,73;1,23;2,44;7,45;1,62;9,22;6,78
9,08;3,63;7,61;5,95;1,56;2,69;4,83
5,64;2,37;10,58;7,57;7,29;8,19;5,55
8,45;4,67;10,56;4,02;9,02;7,16;6,8
0,17;3,2;2,24;5,71;2,16;5,63;7,46
3,94;2,81;11,42;5,03;5,25;7,36;4,23
2,35;2,03;11,43;5,81;2,19;0,91;1,29
8,64;0,53;10,88;8,81;9,31;8;5,82
5,07;1,28;0,68;0,55;7,89;0,1;1,62
4,85;2,2;8,46;2,03;9,63;5,55;4,93
7,22;1,84;5,22;3,38;4,53;0,72;5,51
9,53;1,72;6,5;8,93;4,41;1,39;4,98
4,1;3,39;6,57;8,41;6,6;6,36;2,4
3,84;4,79;5,7;5,85;2,67;6,4;1,93
5,3;4,5;4,06;0,81;0,58;1,68;4,5
1,64;3,07;7,75;8;5,21;0,34;7,43
4,21;1,18;6,66;8,43;3,4;1,78;0,31
3,62;1,79;2,13;6,4;4,81;2,79;0,56
9,19;3,35;4,44;5,23;1,07;7,32;2,73
4,29;1,31;4,28;1,65;9,9;1,6;0,92
0,55;0,41;3,03;2,91;9,97;1,34;5,68
2,6;1,63;10,39;6,31;9,18;2,97;2,26
1,42;2,3;6,65;2,99;1,1;7,55;5,78
8,24;0,36;6,37;5,58;9,3;1,89;1,45
6,3;3,98;6,86;1,25;7,39;0,47;6,05
8,14;1,47;8,93;8,25;4,61;5,97;0,88
5,14;2,57;8,81;2,43;7,92;8,47;7,03
5,22;0,24;10,48;5,7;9,86;8,98;0,47
3,64;4,57;7,06;7,51;2,13;0,52;0,18
1,75;3,46;10,64;6,41;8,16;7,38;0,9
3,2;4,54;8,23;3,45;1,73;3,96;6,54
4,76;2,22;0,16;2,67;6,58;7,22;2,8
2,92;0,06;0,81;3,37;7,97;2,97;0,29
8,91;3,17;0;2,39;4,89;6,13;7,68
9,51;4,13;3,41;5,55;2,51;0,29;3,8
2,66;1,03;4,3;6,39;2,06;4,54;4,6
1,32;4,65;0,52;9,31;6,59;5,84;0,34
9,97;4,98;1,01;1,73;5,7;4,02;2,33
0,02;2,71;0,66;1,23;3,49;0,09;2,21
4,61;0,41;8,09;2,58;2,6;4,91;4,59
9,7;2,9;8,19;5,61;4,68;9,99;1,62
6,69;1,25;9,55;4,75;3,8;5,96;4,85
8,32;1,67;6,78;6,46;9,49;8;4,7
2,28;2,63;4,26;6,13;9,74;1,96;4,24
9,02;3,07;9,49;5,32;8,31;6,9;5,29
9,46;1,16;5,05;4,33;0,79;0,31;7,67
4,6;4,02;7,26;2,42;3,2;4,16;3,26
6,92;2,84;1,56;8,84;6,73;8,47;0,01
0,11;1,18;5,52;3,73;3,96;4,61;2,3
2,84;0,43;11,82;0,01;5,55;0,79;3,65
1,67;1,68;11,26;4,35;8,85;5,91;4,71
5,58;4,73;11,25;8,32;3,23;4,14;1,51
7,6;3,01;9,35;1,71;5,66;6,05;7,71
2,35;1,07;10,03;8,38;6,9;1,31;4,16
6,65;3,36;11,27;6,03;7,79;0,84;3,55
0,08;3,46;2,37;0,54;6,16;1,15;1,95
3,88;0,48;1,81;5,09;6,95;1,04;7,86
6,93;4,78;4,07;0,09;3,86;7,09;7,03
9,17;3,53;3,66;1,25;7,81;2,35;1,11
2,87;1,57;8,22;3,06;1,54;8,52;4,27
6,02;1,03;4,91;9,66;4,87;1,11;5,53
5,37;1,16;8,36;8,26;8,58;4,12;1,56
1,95;2,09;4,69;7,01;5,18;5,27;2,09
2,89;3,64;7,54;5,62;5,39;1,92;3,87
3,58;1,68;10,2;1,44;1,32;3,95;0,92
9,67;1,23;8,89;1,43;8,92;1,01;6,17
4,95;3,27;8,3;3,61;2,17;8,07;3,96
6,29;0,09;4,13;2,91;8,16;3,19;7,62
6,35;3,27;2,81;1,34;0,6;2,88;4,89
6,62;0,34;8,88;2,28;0,24;4,26;2,5
4,27;4,7;3,99;6,36;4,34;3,78;7,76
0,47;4,71;11,58;8,58;1,75;9,23;6,95
4,76;4,44;8,87;7,02;5,58;2,55;0,12
6,96;0,03;3,94;5,08;1,89;6,97;5,74
3,14;2,54;7,92;0,17;7,72;8,79;2,51
1,16;3,59;10,43;1,15;8,35;1,45;0,05
7,52;2,26;0,95;6,43;5,67;6,16;6,39
7,04;3,72;5,32;2,49;1,14;8,45;1,48
9,03;1,74;7,34;8,21;3,08;1,01;2,13
0,38;1,48;11,61;7,79;1,74;9,96;5,41
0,78;4,69;0,17;8,26;3,15;0,85;7,06
2,51;4,51;9,18;1,52;0,86;2,29;2,86
6,38;1,82;11,81;2,5;9,43;7,19;2,08
3,56;0,59;0,98;1,94;8,36;7,09;1,28
5,43;4,68;7,46;4,46;6,18;6,78;5,51
2,9;3,09;4,31;3,35;5,33;9,53;4,71
1,65;0,21;1,13;7,4;1,96;6,49;6,56
6,84;1,58;11,78;2,67;4,6;0,74;4,25
9,06;0,63;0,03;0,11;3,25;1,29;6,88
9,37;3,99;0,39;2,41;9,82;6,69;4,55
6,76;2,51;7,42;7,15;2,64;4,36;2,35
5,69;4,63;4,65;1,44;1,73;8,71;7,72
7,14;0,2;8,54;2,93;7,88;7,58;4,11
9,98;3,99;2,81;1,39;0,99;0,29;7,22
8,1;2,62;5,77;1,3;4,46;6,25;6,44
8,92;1,67;0,51;8,25;3,86;6,09;3,46
0,22;1,64;7,32;5,34;0,98;7;0,15
5,69;4,61;3,24;4,95;6,99;9,78;3,43
7,9;0,6;0,51;1,89;1,9;2,44;5,91
3,44;2,47;3,24;9,25;1,25;2,56;7,01
5,12;1,95;5,55;2,51;6,79;5,81;5,66
4,24;4,04;4,43;5,87;0,5;9,98;0,67
8,07;1,61;7,94;7,45;8,5;3,8;4,23
0,15;1,71;2,35;4,03;2,87;1,01;6,97
6,27;4,26;6,98;2,89;2,06;8,34;3,85
2,09;1,23;4,22;7,16;4,07;1,5;0,3
8,07;2,28;7,27;9,49;5,99;6,71;0,39
4,58;2,49;1,48;9,48;0,11;5,19;5,44
0,34;2,1;1,78;5,09;0,3;5,23;5,17
4,86;4,2;11,46;2,47;9,64;3,51;6,38
0,62;1,99;1,91;6,14;6,47;2,88;3,56
4,56;0,14;11,46;6,11;0,64;8,61;3,24
9,08;4,29;8,93;3,52;6,11;7,12;4
3,3;1,58;1,02;3,37;5,29;9,7;6,61
7,79;3,84;1,17;8,04;3,81;6,03;3,96
5,89;4,98;7,62;2,63;3,73;2,19;3,61
4,39;0,36;1,38;0,25;8,2;3,41;2,06
3,72;4,79;3,04;4,01;0,31;1,51;0,36
2,35;3,87;0,94;8,75;1,74;2,48;5,85
1,58;3,5;8,88;1,83;5,46;4,05;1,4
3,43;3,97;10,18;7,69;9,1;4,5;2,06
0,02;3,72;1,14;6,48;5,98;5,15;7,45
8,87;0,43;7,5;6,5;8,43;2,37;1,7
9,59;2,05;4,32;2;2,96;7,74;5,84
6,96;2,48;10,02;0,37;1,19;0,55;0,42
2,53;4,27;2,84;7,89;4,14;2,51;7,77
6,34;0,74;9,71;2,14;3,62;0,17;1,28
3,23;0,03;1,64;8,87;1,41;9,01;2,92
5,86;2,04;4,34;3,28;2,81;8,01;5,11
4,35;3,79;2,05;5,21;1,01;5,89;3,02
8,23;0,03;2,14;2,35;8,48;7,34;4,79
0,58;2,55;2,47;8,27;2,03;3,31;7,12
5,05;2,56;11,42;4,69;0,49;5,33;2,18
6,26;4,09;8,35;1,92;2,11;7,4;1,61
9,52;0,07;6,08;8,56;5,76;5,25;7,57
0,39;3,83;3,08;2,53;0,89;8,41;5,02
9,01;1,97;1,19;8,42;2,03;4,01;6,48
1,69;1,79;0,99;7,3;3,52;0,96;2,22
3,48;4,2;10,85;3,43;3,79;9,79;2,72
2,18;2,84;8,39;8,89;8,59;7,7;6,58
5,67;4,42;0,96;9,84;1,32;5,49;6,56
4,37;2,1;10,33;9,96;4,6;7,52;5,05
8,85;0,25;7,69;1,71;9,98;5,97;5,79
4,27;2,67;1,48;6,06;6,5;8,61;7,88
2,4;3,95;5,27;2,77;7,91;5,02;5,94
3,71;1,89;11,19;8,05;4,91;5,29;6,55
9,02;0,49;9,88;2,29;0,79;6,63;5,19
2,91;0,79;3,24;5,7;6,84;0,48;0,9
8,28;2,42;2,57;1,05;5,57;3,87;0,63
0,23;2,54;7,81;7,3;7,48;6,4;2,19
3,35;2,07;3,36;7,17;0,14;6,94;2,24
0,19;3,8;0,45;6,02;0,59;1,3;2,96
1,48;0,35;10,97;2,36;6,88;7,83;2,39
1,07;0,03;2,4;6,05;0,12;4,18;4,45
6,73;4,81;1,57;5,78;7,94;4,26;7,15
1,77;3,01;4,83;4,61;5,26;6,01;0,93
4,37;0,82;5,61;3,18;1,5;7,56;4,62
4,84;3,61;5,51;1,26;1,87;3,69;0,32
3,1;4;3,6;8,68;5,72;5,17;5,06
0,47;0,16;9,75;0,88;0,18;3,68;7,38
6,88;4,4;11,14;4,47;9,69;1,94;0,44
6,26;2,75;5,55;9,56;5,15;4,87;2,34
1,81;4,07;10,33;2,34;7,68;4,02;4,48
9,28;3,38;8;9,12;0,94;9,7;2,41
5,41;4,08;7,43;8,37;0,99;4,83;4,44
2,31;3,78;0,69;3,19;1,02;9,8;5,39
5,1;0,28;3,54;6,79;0,53;2,94;0,87
8,96;0,77;0,23;7,2;7,46;8,53;6,29
6,37;2,48;5,66;5,19;8,31;7,51;6,74
5,05;3,76;2,72;6,13;9,62;6,76;2,09
4,55;0,89;7,31;9,04;7,79;9,54;6,67
3,22;4,65;1,43;8,86;9,4;1,24;1,55
6,32;2,37;10,1;2,19;2,54;7,79;4,08
5,67;0,45;0,19;9,33;3,5;5,04;1,73
6,6;4,1;11,56;7,18;3,21;0,03;6,19
3,23;1,34;3,23;0,16;1,45;3,9;7,49
6,25;1,05;4,14;8,79;4,13;7,3;1,99
7,52;3,42;3,95;0,53;4,7;3,73;3,01
9,97;4,48;7,22;4,05;2,08;5,07;1,56
4,33;0,33;5,79;1,05;6,83;0,02;7,46
2,03;1,8;1,96;2,95;2,01;0,43;6,49
6,19;1,77;0,65;0,19;1,68;3,97;3,86
4,97;1,19;6,55;3,74;8,29;1,64;5,35
3,22;0,76;6,56;3,01;8,64;8,13;1,62
6,35;1,92;2,12;3,92;4,81;3,14;1,91
4,85;4,1;4,08;2,48;6,9;6,22;4,4
5,35;0,68;9,55;9,32;4,97;2,71;5,44
4,7;3,04;8,99;1,46;3,03;5,62;6,28
5,92;1,82;4,27;6,56;5,11;4,17;2,7
3,31;4,46;0,94;6,6;7,56;3,96;0,54
2,8;2,3;3,97;8,98;4,35;1,7;7,65
4,69;0,56;9,67;6,47;4,77;1,77;3,23
9,98;4,86;11,14;3,22;6,81;5,57;2,88
5,1;1,44;2,05;7,78;9,19;0,7;7,27
2,33;3,78;9,38;8,69;9,25;5,69;3,97
9,26;3,17;11,21;0,96;2,37;0,3;7,05
4,19;2,8;9,7;1,39;2,12;9,09;7,77
9,6;0,92;1,08;9,74;6,09;8,85;6,96
7,95;3,07;11,27;2,96;8,63;6,02;1,48
4,47;0,64;3,85;4,11;4,98;7,22;0,35
1,06;2,61;0,12;4,03;7,21;7,8;2,54
0,88;2,92;1,24;1,89;6,88;4,55;4,83
4,71;3,66;10,49;1,49;3,18;6,32;6,52
0,89;1,49;2,41;3,34;1,2;2,03;7,58
2,3;4,06;2,83;4,4;6,43;6,85;3,05
4,45;1,24;8,65;9,58;6,95;7,37;4,67
0,26;4,42;4,58;6,77;4,23;9,33;2,26
5,97;1,86;2,37;1,59;6,87;7,14;1,17
0,57;3,29;10,35;7,77;8,94;7,07;7,25
4,39;3,51;0;8,69;4,07;3,55;0,96
6,27;3,13;1,5;0,2;3,34;7,58;6,04
9,79;3,35;7,4;7,75;0,48;0,65;3,26
4,97;4,6;2,01;8,18;3,51;0,86;1,49
2,22;0,45;11,7;6,72;4,75;5,11;7,39
7,31;2,01;2,39;0,63;6,95;9,22;7,86
1,4;4,73;5,54;1,35;7,86;1,81;2,95
2,93;3,28;8,22;2,97;9,06;3,91;0,66
1,35;2,79;10,28;6,72;4,71;5,92;3,42
8,02;3,51;8,32;9,48;0,71;9,7;6,5
0,4;3,93;6,22;7,35;1,72;9,92;5,51
9,14;1,76;4,82;4,08;4,76;9,38;1,9
3,59;2,54;11,92;2,36;8,35;8,62;3,62
4,04;1,17;8,68;2,46;2,78;0,9;7,66
9,09;1,07;3,16;7,91;6,45;8,37;6,65
7,17;2,35;5,41;6,75;9,46;3,78;6,98
1,78;1,76;4,24;2,04;3,89;1,33;1
7,88;1,06;1,71;7,84;2,68;2,15;4,33
4,53;4,87;8,58;4,44;1,14;2,95;2,38
3,07;1,4;7,13;8,53;9,45;8,46;4,34
4,48;3,3;7,56;8,59;0,2;5,54;7,48
3,48;3,29;4,44;8,16;9,76;4,48;6,98
0,59;4,19;4,29;8,12;5,3;8,04;4,67
9,3;4,02;4,44;3,3;2,23;8,69;2,94
8,11;1,49;11,72;6,02;6,44;0,01;1,47
2,45;3,09;7,99;8,2;0,65;7,32;2,7
8,98;2,5;3,82;6,98;9,16;3,64;0,58
9,37;3,99;4,55;8,94;9,77;8,35;4,44
0,49;0,98;0,22;5,76;6,67;3,74;2,49
6,33;3,73;2,73;7,94;8,58;0,45;0,55
8,12;2,96;9,9;3,38;8,34;7,17;1,45
4,27;1,21;3,06;5,1;7,28;1,81;2,9
0,74;3,61;5,05;0,21;3,36;3,64;6,38
4,38;2,99;9,48;1,87;1,9;4,48;2,6
2,77;0,47;5,39;5,56;1,35;8,07;3,51
7,14;4,31;5,58;1,72;0,82;0,96;3,69
4,69;3,87;8,48;1,34;3,21;4,36;6,74
5,71;3,06;10,25;3,86;4,2;6,3;4,59
2,78;3,07;7,93;6,76;4,4;5,51;4,8
8,05;2,07;1,44;7,36;1,33;1,69;6,71
9,2;4,66;8,17;0,45;0,57;1,17;2,35
6,41;4,46;2,27;5,7;2,64;5,69;3,01
6,62;1,98;5,43;5,15;3,29;6,22;1,85
6,83;4,93;4,02;2,62;7,08;1,57;7,56
3,81;4,08;0,76;2,55;9,33;5,32;5,95
6,75;0,65;0,7;3,85;0,09;2,62;7,73
0,32;4,16;7,67;4,95;2,62;3,81;1,89
5,78;1,92;6,49;5,19;6,41;9,19;4,47
9,42;4,37;9,7;7,21;7,77;3,17;2,84
1,98;0,89;7,13;0,93;7,32;0,21;5,89
0,53;4,05;4,48;5,67;0,12;3,86;0,72
3,52;2,01;5,24;2,1;0,69;8,47;7,94
8,79;0,78;3,77;1,79;2,87;8,6;4,68
9,41;2,29;11,73;2,17;7,67;5,55;6,32
3,47;2,54;1,93;1,38;5,3;5,4;3,61
4,25;0,75;0,26;9,35;0,16;3,68;6,25
0,92;2,5;9,93;9,46;8,39;3,36;4,41
8,04;0,27;5,53;8,49;3,72;0,82;1,17
2,28;2,26;1,5;9,67;7,95;4,5;0,25
1,28;2,87;9,82;8,51;2,02;5,12;5,21
9,33;0,77;2,41;4,47;0,59;9,05;0,97
2,73;0,17;9,19;2,09;6,5;6,77;2,7
0,23;4,32;4,05;5,38;5,19;1,46;0,22
6,48;4,68;4,15;4,42;3,72;7,64;3,55
5,42;4,73;7,46;2,55;8,69;0,64;7,78
2,33;1,28;0,62;2,86;5,06;5,2;7,42
2,12;1,24;2,96;0,41;9,66;3,85;7,28
0,9;4,5;2,81;1,49;4,11;7,36;5,34
6,7;4,13;0,73;2,83;8,97;7,82;3,82
2,46;0,92;11,31;9,94;0,69;5,43;7,77
7,03;3,13;8,1;7,23;1,38;6,15;1,09
3,76;1,61;9,09;5,23;3,67;8,86;6,25
1,29;0,79;11,88;2,3;5,68;1;5,94
1,45;1,32;0,68;3,4;5,53;4,51;0,87
5,99;3,53;5,4;1,76;8,9;4,27;6,07
5,99;1,32;9,09;7,23;0;0,82;3,82
